Cell line,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,CellLine
Peer,22382.371844202968,-18931.23622751626,-891.6951291108971,-199.20507292713205,-236.26860403986356,1346.8363905190886,320.7914789422967,4839.240375502349,295.3094986677734,2443.2403595607466,Other
Pfeiffer,-20697.071307544993,-6974.393655674548,22298.825107622957,-4208.582740315485,-464.0327375872889,-1557.117716017953,490.9377290545807,2530.9910763495927,156.07403996283008,1818.6348421457433,Other
PrEC LH,57124.44246358155,-3136.0824886540922,-5648.837194426284,-6129.276410935411,10373.483347579853,744.6536069494633,2964.8776562494777,-15229.383854515067,-658.470111058519,-2984.3785969554733,Other
QGP-1,-14447.880286340036,24439.666420342888,2695.712232298517,2615.5130860319746,-4005.518516760617,-1013.3902881935862,2071.336548056002,372.8188272271081,-762.3942181418713,7008.376244228759,Other
RCC10RGB,-13863.292041079918,5383.927434574836,-2797.2220160595234,-925.8877697082289,880.5123319026771,-1416.917312828762,-6313.910701006386,-3887.1696091095596,-460.8949053726297,-852.2682602441207,Other
RCH-ACV,-19304.619123367727,-9144.991300093314,3914.3744153058956,5503.73019875038,-9143.85466249236,-2175.1089201565615,145.04291360294565,-903.1240050705038,-449.0493788710456,2654.99101677712,Other
RCM-1 [Human rectal adenocarcinoma],46692.42333060322,26610.821427816805,5131.316168517867,3596.2816661942775,-4307.005397122561,-967.0319022371034,-12681.775653881054,-7341.335833583851,-857.1094340339581,-7248.422489973501,Other
RD,-13094.651527029124,-4237.000243421101,-3534.0764662534248,-1989.3131825753721,2639.151251673667,1234.260661801802,-5050.0667741124535,1756.8968665612217,-135.14673469841938,2287.5949741377312,Other
RD-ES,-4708.0513823752235,-5690.797464279387,1388.874082678021,2379.61028413674,-3290.5600221769623,666.3407743660285,-3755.1064396994752,934.5912375441866,-1158.864409522531,5278.868524301763,Other
REC-1,-1141.890343282288,-7097.3486995250605,19765.59525404495,-946.1033023856256,-3161.016047032607,-3087.578418724467,4090.20636730592,-1837.64558223572,-949.2490060574795,5243.3542404545005,Other
REH,-34992.902923968395,-127.74347056696617,1445.1081389830606,3074.727668901289,-5436.303389860421,-532.855976299779,-1810.8408584565361,806.4513881737583,-375.4478801141249,4304.883984086813,Other
RERF-GC-1B,10977.449964475045,-6765.374663198888,-630.6201679588904,210.41790478540253,-328.90278273381665,297.0841798243252,7000.2585899971355,4274.537490568355,-445.97231425855733,4622.9964469693205,Other
RERF-LC-A1,5559.249932541989,911.9455551341456,-429.4171421203227,774.9343235811381,-1673.704816032122,-2061.884208809259,12919.665071752293,3331.6836075135934,739.5275132000304,851.1557807935139,Other
RERF-LC-Ad1,-16770.19138073091,8191.511378126442,-5982.2969789267245,-4486.157344804932,5604.855302096996,157.02854226107283,-1068.923423572818,2014.628498484408,201.05512883192043,972.2885038503941,Other
RERF-LC-Ad2,80936.4186622999,536.533140437496,1456.8080673015027,-228.45894674452776,1207.9421781953788,1084.0122876568687,-3524.3858886026887,-5115.295863464542,15.468518760255122,-4766.170097748218,Other
RERF-LC-KJ,-20130.633454927116,-699.604719767632,-5232.38275133796,-2244.999946838765,2820.8154525324057,-3001.8655804901223,4851.2978973201325,-2889.110530422321,-179.94979224290114,-714.443648775406,Other
RERF-LC-MS,11780.03812342341,-802.5332276803384,-4448.940834760091,-3327.080188516016,4140.137781885769,-58.45555004350073,6234.943922374649,6444.299621357684,832.9497680861284,-2826.6488457733753,Other
RERF-LC-Sq1,-5932.322794092148,-6031.205143697841,-10037.023598300555,-7990.990686735621,10605.148117210558,160.8931267017501,2537.217874071889,-2826.2873620523455,659.0797485455349,-793.1404999917964,Other
RKN,-13299.445085418587,-5827.662905128227,-2735.918609493643,-379.34099115969127,-536.5606206218376,-2686.8910312945413,3143.5707649699757,-2262.670626657183,-115.87328678834274,-14.751402981914012,Other
RKO,-20860.66987055859,-15297.14460461969,6727.364425949252,9111.53802875494,-14131.29294809344,-3737.8357603982827,-2789.6013792771605,-7.933681035157368,263.6485347864828,-8008.421665962761,Other
RL,-10364.003360850696,-8793.95486285487,3800.801152287588,6050.708390772972,-5333.70780568271,584.0960347634518,2235.377235402364,2235.907417869831,-982.3807288952302,2796.655283267863,Other
RL95-2,28308.164912479173,-5811.7617986303685,-516.3966242266384,-512.4770301469258,693.3068492806699,1095.6824763099048,-3974.981479043462,520.895524337665,192.3706071815611,151.8159000056382,Other
RMG-I,6940.980395878271,11615.662042712065,4847.042908160704,5604.818228912303,-8731.013569735109,-5026.801750436397,5702.657623521763,-5212.848196837049,-1011.2574862874204,-2344.311847171365,Other
RMUG-S,8596.078550944472,-3193.362263956748,-1892.4731728217082,-708.5198406931648,229.54288511367474,-517.1619524295553,9703.803813606595,8411.853613273428,131.845463828501,3879.6016391390676,Other
Panc 02.13,46499.21680629163,688.8619873402617,-3237.750341889459,-3916.4116406315134,6917.334944644565,3609.7497144433255,-7464.272432934009,2884.0917898482335,201.56935471643078,-447.0499348458791,Other
NCI-H322,50670.506017823915,15193.13828970566,303.58611954961333,-766.399936516029,1542.156081773849,841.6152407795876,6392.50463315091,11683.991456067055,1817.5861982173928,-7331.539288565811,Other
Panc 02.03,110941.34653519359,976.3579954481453,4348.99076870863,1073.2878380531693,-878.0123015166088,3957.305391913591,-17802.112407320943,5823.021210199695,-271.0620998541076,6506.638184370135,Other
PaTu 8988s,72452.68077288543,-339.5253839060135,3636.9485733137603,2340.5604297745053,-3251.0932147175895,-2465.16159198305,9501.190201940348,-7726.573059466886,-915.4009291460295,3414.530433283258,Other
OVCAR-3,1654.713406758798,-2392.8181748707193,-1075.8067616316937,-342.6109866882294,678.0714755638024,2945.0305126440767,-10215.00763177024,8619.836014427516,-182.49434321075327,4438.961482946354,Other
OVCAR-4,48166.51389262785,-15084.192327564228,-1685.2979123928733,-1498.2126768583296,1980.8672001998398,546.2539030864848,6292.26649796493,5371.214996420999,1253.5015038308504,143.3084391948335,Other
OVCAR-8,-28825.86718155169,-3564.3442819367183,-2538.2586317080627,624.3401728722376,-2128.780973469915,-2905.3168627904306,-274.2704891354538,2232.7206169596466,515.0943455973028,-4452.547984654539,Other
OVISE,37555.15879312905,-16038.374472224941,2136.106022029122,2633.130977911885,-3860.8897011769636,-677.9406869718873,4640.007283741109,2171.5369719434007,-427.949900174726,4683.03833259225,Other
OVK18,-29588.255768551495,19220.108668791563,99.03289607442663,664.6746919855419,-2102.242360708732,-1371.701075929997,-3283.9676069794614,-5242.14064585884,-1149.2323867287018,6046.882989240839,Other
OVKATE,39282.48406771895,13009.839372351084,-2781.395275117532,-4121.821647284763,6527.039457932839,3236.1702822024063,-18200.063277355155,-5419.917177193354,-1690.9118671104031,8654.207241912673,Other
OVMANA,138084.01579228396,43843.00907679794,8901.215971943453,3449.0270558282555,-2572.8549573460114,815.8728374787526,-23081.195568677842,-14016.196233864559,-687.3472869702977,-19385.158365525614,Other
OVSAHO,-3225.5992584573196,847.6290111986588,4438.89289156216,5446.635803902594,-8451.159646966255,-2170.250650407811,-238.89787383719496,952.9417740758217,-60.039806336381545,-3398.2019960856173,Other
OVTOKO,72517.3243979019,-1826.622857386123,-657.9103387805363,-949.5859100537577,778.8103890274751,-2540.3339458810715,-678.2702633527856,-8517.527708216976,-487.32317516515525,-2427.2469357554305,Other
P12-Ichikawa,-21223.428162354117,3952.989046873514,3843.012258004747,4767.890537647328,-7601.304689776193,-1056.055172446164,-1518.0433449372051,1012.451615223695,-449.7193032472623,1661.720647402356,Other
P31/FUJ,-27230.019127834166,2454.852555180569,249.5912723167332,1240.4173236576564,-2107.6909183067696,772.4662681709459,-3327.437418526335,1030.260421590503,-463.24908303422717,3467.455857939889,Other
P3HR-1,-21421.787812043764,-9283.076894475696,8088.667151956047,5238.809763345185,-8734.35379377933,-644.1428080197696,-4225.257030866135,1285.5884483251634,-400.9710348767862,395.3934960605103,Other
PANC-1,-17159.35678433868,1592.375149957621,-3942.6193115354563,-2193.506063260775,2576.355042706428,-165.22333097206527,2781.825702298453,3768.9838321588736,130.17278437625012,1962.8304995575616,Other
PC-14,25438.288606745784,11475.791923984474,-22.72868056942126,192.91151234389068,-919.9881377431527,-1348.6236822710982,11457.187688705979,9160.468584550863,1178.2578542135157,-1179.7054459382143,Other
PC-3,10335.657404800428,3619.439025693862,-2442.748238350379,-1588.9378700696577,2063.172492302855,175.54200233440605,-5553.101897158491,2224.2788612544914,133.85666189890088,-2544.817294794649,Other
PC-9,8684.547588683145,13074.65373480222,2630.10541698308,3170.428738881324,-4817.690724173498,-757.7990148501344,3981.0252467222967,12969.813652838424,1937.6623217004521,-9373.797281342444,Other
PE/CA-PJ15,99469.46541208641,-13287.153120928377,1452.2361982878822,-282.97929247791535,750.6517995313709,-1509.4709486356774,14316.19571183751,-9963.663824496118,-1192.0540679631636,8286.086618585192,Other
PE/CA-PJ34 (clone C12),-1116.34650134123,-470.89867210888,-745.4959941421782,828.5167190639504,-2067.5181376525848,-1922.9556621658655,6618.937062056989,4469.703330095973,514.2253701223913,242.94365966873983,Other
PE/CA-PJ41 (clone D2),115992.6821693729,56630.996452201005,5896.943221045753,1154.433096158373,-9.360187284843166,-362.5102708058091,-2261.94144809352,118.8313198730103,2087.8959399245036,-27314.31575430755,Other
PE/CA-PJ49,21394.616896471573,-2533.4986882845337,-1776.683254281371,-858.5616742288107,-41.6170384504752,-3011.332927800306,7099.586114867133,-5876.633434193008,-1264.854161910317,9382.71120603297,Other
PF-382,-23429.674591615043,-2404.3888331212984,2883.66934312516,4208.875937819873,-6992.789565960582,-1904.5098095226724,910.0591498178495,-1712.9724535071605,30.632832308055747,-255.4051438219539,Other
PK-1,6045.225630708522,-8576.259338018146,-1935.3921295980142,-540.9905252488346,-141.1962881308054,-938.9049305317367,1017.5815517549443,-551.4102845827773,-472.1594648194854,5647.005557541994,Other
PK-45H,192.9536984025503,-2800.6675826662795,-3075.6635300505395,-1055.8315942889758,573.4355989393817,-2894.6532145807837,14651.349348218551,3289.094804368372,1308.7272121719332,-2385.542757079872,Other
PK-59,-17684.55985226087,26704.38345359221,4252.122939604619,5004.991375499721,-7500.3769547999445,-3812.5551048290304,2130.600372274364,-1313.3044030160186,540.2894666631031,-10162.819452364596,Other
PL-21,-13821.098574787924,-2731.911680075885,9818.967976121688,11348.95325905003,-17176.603375733383,-5411.9023272965405,3097.293525961964,-4621.060338784974,-13.083700109631856,-9067.836167497824,Other
PLB-985,-22189.44931750144,-6174.727338533363,12069.304871715565,14068.55399289921,-21561.282254289887,-7076.186008837635,2647.883740916115,-6507.204600876755,344.9146877028888,-13210.867913827798,Other
PLC/PRF/5,15625.76460063282,450.6879779498198,-1438.1736193144611,-1238.075246811924,1792.0888768194966,1968.8169451672409,763.3345792156792,9286.58599277286,624.3160865423249,1691.6392017390242,Other
PSN1,-32957.37250809396,4481.8375657589695,1757.5862764686217,3957.892838841645,-6699.614175952875,-3105.3436562661045,-1942.3623132058515,-340.4407528006282,311.40081050483997,-6964.6822882879615,Other
PaTu 8902,13678.177328907219,-13301.163350981478,-497.2466324478155,1258.841680060119,-3051.836562555987,-2282.656439800873,3297.8918346682917,395.03967129742836,-12.479419360276417,631.3269615934119,Other
